date,score,hour,title
2026-05-05,0,7,Hòa Phát (HPG) chi hơn 3.800 tỷ đồng chia cổ tức năm 2025 - Tin nhanh chứng khoán
2026-08-04,0,7,Cổ phiếu cần quan tâm ngày 5/8 - Tin nhanh chứng khoán
2026-06-05,0,7,Lãnh đạo Hòa Phát muốn bán 6;6 triệu cổ phiếu HPG giữa lúc thị giá về đáy từ đầu năm - CafeF
2026-08-05,0.8,7,Loạt cổ phiếu SHS; PVT; HPG được khuyến nghị mua - thuonghieucongluan.com.vn
2026-07-14,0,7,Một số cổ phiếu cần quan tâm 14/7: Cơ hội đầu tư tiềm năng với HPG và ELC - VOV.VN
2026-08-24,0,7,Sản lượng HRC lập kỷ lục; Hòa Phát được dự báo lãi ròng hơn 24.000 tỷ đồng; cổ phiếu HPG kỳ vọng tăng 63% - nguoiquansat.vn
2026-05-14,0,7,Cổ phiếu cần quan tâm ngày 15/5 - Tin nhanh chứng khoán
2026-06-05,0,7,Một công ty chứng khoán dự báo cổ phiếu HPG sẽ tăng mạnh 57% - nguoiquansat.vn
2026-08-25,0.75,7,Cổ phiếu nào hút tiền nhiều nhất sau khi nâng hạng FTSE? - VnExpress
2026-08-25,0,7,Cổ phiếu đáng chú ý ngày 25/8: HPG; VPB; TCH - nguoiquansat.vn
2026-08-23,0,7,Cổ phiếu đáng chú ý ngày 24/8: HPG; POW; KDH - nguoiquansat.vn
2026-07-21,0,7,Thêm công ty chứng khoán rót gần 150 tỷ vào cổ phiếu quốc dân HPG - Chứng khoán DNSE
2026-06-15,0.7,7,Hòa Phát (HPG): Khối ngoại ồ ạt mua ròng cổ phiếu sau khi lãnh đạo báo tin vui tới nhà đầu tư - nguoiquansat.vn
2026-04-24,0.8,7,Cổ đông HPG: Tôi tin tưởng vào sự minh bạch và khả năng tăng trưởng của Hòa Phát - hoaphat.com.vn
2026-08-05,0.8,7,Khuyến nghị mua cổ phiếu SHS; PVT; HPG với giá mục tiêu hấp dẫn - bnews.vn
2026-07-02,0,7,Cổ phiếu cần quan tâm ngày 3/7 - Tin nhanh chứng khoán
2026-05-14,0,7,Cổ đông Hoà Phát sắp nhận tiếp cổ tức bằng cổ phiếu - Mekong ASEAN
2026-07-02,0,7,Một số cổ phiếu cần quan tâm 2/7: Cơ hội đầu tư tiềm năng với HPG và PLC - VOV.VN
2026-09-09,0,8,Khối ngoại gom HPG; xả loạt bluechip - VietnamBiz
2026-05-30,0,7,Vì sao cổ phiếu HPG được định giá tăng tới 50%? - 24HMoney
2026-06-12,0,7,Một số cổ phiếu cần quan tâm ngày 12/6: Cơ hội đầu tư tiềm năng với HPG và IDC - VOV.VN
2026-07-30,0.7,7,Vì sao khối ngoại mua ròng cổ phiếu HPG và CTG? - diendandoanhnghiep.vn
2026-06-16,0,7,Dòng tiền khối ngoại trở lại với cổ phiếu thép HPG - diendandoanhnghiep.vn
2026-05-07,0,7,Cổ phiếu cần quan tâm ngày 8/5 - Tin nhanh chứng khoán
2026-07-24,0,7,Nhìn lại diễn biến nhóm cổ phiếu được các công ty chứng khoán khuyến nghị tuần qua - Tin nhanh chứng khoán
2026-08-05,0,7,Cổ phiếu 5/8: HPG hưởng lợi chu kỳ thép; BMP giữ lợi thế biên lợi nhuận - thuonghieucongluan.com.vn
2026-08-02,0,7,Một cổ phiếu "quốc dân" bất ngờ bị 19 quỹ cùng "xả hàng" - CafeF
2026-05-14,0,7,Hòa Phát (HPG) tiếp tục lên kế hoạch chia cổ tức bằng cổ phiếu với tỷ lệ 10% - thuonghieucongluan.com.vn
2026-06-05,0,7,Lãnh đạo Hòa Phát muốn bán 6;6 triệu cổ phiếu HPG giữa lúc thị giá về đáy từ đầu năm - Chứng khoán DNSE
2026-05-12,0,7,Gần 800 triệu cổ phiếu Hoà Phát sắp về tài khoản nhà đầu tư - CafeF
2026-06-07,0,7,Cổ phiếu HPG vừa điều chỉnh; lãnh đạo Hòa Phát lập tức đăng ký bán 6;6 triệu đơn vị - 24HMoney
2026-07-09,0,7,Người đồng hành cùng Hòa Phát hơn 30 năm vừa bán lượng cổ phiếu HPG trị giá 150 tỷ đồng - CafeF
2026-07-29,0,7,Tâm điểm thị trường chứng khoán hôm nay - CafeF
2026-07-06,0,7,Cổ phiếu cần quan tâm ngày 7/7 - Tin nhanh chứng khoán
2026-07-20,0,7,Cổ phiếu Hòa Phát bất ngờ "thủng" đáy 1 năm; điều gì đang diễn ra? - Nhịp sống kinh doanh
2026-07-20,0,7,VN-Index mất 44 điểm; HPG rơi về đáy 1 năm - nguoiquansat.vn
2026-05-15,0,7,Diễn biến cổ phiếu cần quan tâm tuần qua - Tin nhanh chứng khoán
2026-05-12,0,7,767 triệu cp HPG sắp về tài khoản của cổ đông - Vietstock
2026-05-12,0,7,Gần 800 triệu cổ phiếu HPG sắp về tài khoản nhà đầu tư - Chứng khoán DNSE
2026-07-22,0,7,Cổ phiếu đáng chú ý: HPG phát tín hiệu mua; TV2 và F88 được đánh giá khả quan - thuonghieucongluan.com.vn
2026-08-25,0,7,5 cổ phiếu dự kiến hút dòng vốn FTSE lớn nhất đợt đầu - Laodong.vn
2026-05-19,0,7,Đế chế thép và “dòng máu HPG”: Toàn cảnh hệ sinh thái tỷ phú Trần Đình Long - Báo Đại biểu Nhân dân
2026-05-11,-0.8,7,Nhiều cổ phiếu 'lao dốc' dù lợi nhuận quý 1 tăng vọt; vì sao? - Báo Tuổi Trẻ
2026-07-14,0,7,Khối ngoại bán hơn 1;1 triệu cổ phiếu; HPG tiếp tục lập đáy mới - 24HMoney
2026-07-08,0,7,Gần 768 triệu cổ phiếu HPG sắp được đưa vào giao dịch - VietnamBiz
2026-08-10,0,7,HPG; PVD và IDC có gì hấp dẫn? - Vietstock
2026-08-04,0.8,7,Cổ phiếu đáng chú ý ngày 4/8: GVR; IDC; HPG đón loạt động lực tăng trưởng - thuonghieucongluan.com.vn
2026-09-04,0.75,7,Cổ phiếu nào hưởng lợi khi chứng khoán được nâng hạng? - Tin tức 24h
2026-04-24,0,7,Một số cổ phiếu đáng chú ý ngày 24/4: HPG; VNM; PVT - thuonghieucongluan.com.vn
2026-07-13,0,7,Lợi nhuận vẫn được kỳ vọng tăng mạnh; vì sao cổ phiếu HPG vẫn giảm? - 24HMoney
2026-05-29,0,7,Nhìn lại diễn biến nhóm cổ phiếu được các công ty chứng khoán khuyến nghị tuần qua - Tin nhanh chứng khoán
2026-06-07,0,7,Thành viên HĐQT Hòa Phát đăng ký bán 6;6 triệu cổ phiếu giữa lúc HPG giảm sâu - Tạp chí Tài chính Doanh nghiệp
2026-06-15,0,7,Cổ phiếu Hòa Phát; Thế Giới Di Động dẫn sóng; chứng khoán tăng điểm - Báo Dân trí
2026-07-02,0,7,Cổ phiếu HPG được "gọi tên" cho nửa cuối 2026; tiềm năng tăng giá hơn 41% - 24HMoney
2026-08-26,0.75,7,27 cổ phiếu có thể đón 1;5 tỷ USD sau nâng hạng: VIC; VHM dẫn đầu; MSN; VPB; HPG hút hàng nghìn tỷ - nguoiquansat.vn
2026-05-12,0,7,Hòa Phát (HPG) chia cổ tức tổng tỷ lệ 15%; phát hành thêm hơn 767 triệu cổ phiếu - Tạp chí điện tử Thương Trường
2026-07-29,0,7,Digiworld (DGW) đang đầu tư 300;5 tỷ đồng vào cổ phiếu KBC và HPG - Tin nhanh chứng khoán
2026-07-15,0,7,HPG củng cố vị thế sản xuất HRC; mảng tiêu thụ thép ổn định - diendandoanhnghiep.vn
2026-07-15,0,7,Cổ phiếu đáng chú ý ngày 15/7: HPG; PVS; ACB - nguoiquansat.vn
2026-08-03,0.8,7,Yuanta Việt Nam khuyến nghị mua cổ phiếu HPG - suckhoedoisong.vn
2026-03-28,0,7,Hoà Phát dự kiến trả cổ tức cả tiền mặt và cổ phiếu - Mekong ASEAN
2026-07-13,-0.8,7,Hòa Phát được dự báo lãi vượt 18.000 tỷ đồng; cổ phiếu vẫn lao dốc về mức thấp nhất gần 1 năm - nguoiquansat.vn
2026-03-11,0,7,Một số cổ phiếu đáng chú ý ngày 11/3: HPG; MBB; SSI - thuonghieucongluan.com.vn
2026-07-08,0,7,Gần 768 triệu cổ phiếu HPG sắp được đưa vào giao dịch - 24HMoney
2026-07-07,0.8,7,Nhận định cổ phiếu 7/7: Khuyến nghị mua BVS; HPG và VEA - bnews.vn
2026-07-06,0,7,Chứng khoán hôm nay: HPG pha loãng; Ta về nấu nước pha trà; chờ 25 thì bán; đợi 21 lại mua? - 24HMoney
2026-07-09,0,7,'Công thần' của Hòa Phát (HPG) bán xong 6;6 triệu cổ phiếu - nguoiquansat.vn
2026-06-07,0,7,Lãnh đạo Hòa Phát bán 6;6 triệu cổ phiếu giữa áp lực nợ lớn - Tạp chí Doanh nghiệp và Hội nhập
2026-04-07,0,7,Chứng khoán AGR khuyến nghị đầu tư tích lũy cổ phiếu HPG năm 2026 - suckhoedoisong.vn
2026-06-16,0,1,Hòa Phát (HPG) dẫn đầu quy mô vốn điều lệ toàn sàn; nhóm ngân hàng tăng tốc chạy đua vượt mốc 100.000 tỷ đồng - Báo Pháp Luật Việt Nam
2026-06-10,0,7,Doanh nghiệp sản xuất lớn nhất sàn chứng khoán vừa có động thái mới liên quan gần 300.000 cổ đông - nguoiquansat.vn
2026-06-26,0,7,CTCK gọi tên 10 cổ phiếu đáng chú ý tháng 7: HPG dẫn đầu triển vọng tăng giá; nhóm ngân hàng áp đảo danh mục - nguoiquansat.vn
2026-05-13,0,7,Cổ phiếu đáng chú ý ngày 14/5: HPG; PVT; VHC - nguoiquansat.vn
2026-05-08,0,7,Nhìn lại diễn biến nhóm cổ phiếu được các công ty chứng khoán khuyến nghị tuần qua - Tin nhanh chứng khoán
2026-07-30,0,7,Soi danh mục chứng khoán của Digiworld: Bán sạch cổ phiếu ngân hàng; giảm tỷ trọng HPG; rót 200 tỷ vào một mã BĐS - Chứng khoán DNSE
2026-06-10,0,7,'Vua thép' Hòa Phát lên top 1 vốn điều lệ - Znews
2026-08-05,0,7,Dự báo chứng khoán ngày 5/8: HPG tiếp tục được đánh giá tích cực; theo dõi BMP và KDH - hangthat.thuonghieucongluan.com.vn
